2026-06-26 20:32:40 | INFO     | app:run_assistant:201 | Generating grounded response using search context.
2026-06-26 20:32:41 | SUCCESS  | app:run_assistant:216 | LLM response generated successfully.
2026-06-26 20:32:41 | INFO     | app:run_assistant:218 | Adding AIMessage to conversation history.
2026-06-26 20:32:41 | INFO     | app:run_assistant:224 | Generating speech using ElevenLabs.
2026-06-26 20:32:44 | SUCCESS  | app:run_assistant:234 | Speech generated successfully.
2026-06-26 20:32:44 | SUCCESS  | app:run_assistant:236 | Assistant pipeline completed successfully.
2026-06-26 20:32:44 | SUCCESS  | app:main:329 | Assistant pipeline executed successfully.
2026-06-26 20:32:44 | INFO     | app:main:351 | Rendering search decision.
2026-06-26 20:32:44 | INFO     | app:main:367 | Rendering conversation history.
2026-06-26 20:32:44 | INFO     | app:main:387 | Rendering search results.
2026-06-26 20:32:44 | INFO     | app:main:415 | Rendering audio response.
2026-06-26 20:32:44 | SUCCESS  | app:main:475 | Voice AI Assistant rendered successfully.
